"mun";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"Nova Iguaçu (RJ)";-0.613120486186766;-0.489744584506038;0.723597150105376;1.11328073474706;0.862437688467659;-0.70376959961372;0.956086545658578;-0.188614922529128;0.0700924841510149;-0.629076062732487;-0.0826854594042029;0.111155395958096;-0.351019543317188;-0.292824438119202;0.344943600337481;-0.3831262475676;0.128608540217359;0.457996204737773
"Paracambi (RJ)";-0.505151820495678;-0.668610674984989;0.875507438038764;-0.423670024060064;0.672239684458812;-0.11302273327446;0.275622293081278;-0.224436265068795;0.0402994601640383;3.92378000967499;0.0627255470753728;0.301538574141647;-0.389759935154653;-0.0817405174276147;0.819057379508208;-0.377599582404411;0.140058223626676;-0.144731667812877
"Paraíba do Sul (RJ)";-0.230808476597212;-0.443674347493841;0.545626590613668;0.123916267787667;0.513741347784771;-0.205501553022731;0.240427546319732;-0.218199653375537;0.0378168671839568;-0.113516632558154;0.906123550670073;-0.188018169758912;-0.320985951886675;0.651110229994269;0.2203900565645;-0.0109936813508717;0.0161765424447418;-0.431589373217805
"Paraty (RJ)";-0.0414552048860021;0.798495664044979;-0.827309496624597;-0.586757619393072;-0.151951666246202;-1.18731475787592;-0.693042320529199;0.55235095819295;0.211160862606274;-0.720930179402009;-0.668054716840946;-0.432796541709192;-0.210121288262856;-1.20484528424798;-0.0505255832059724;0.699518399032955;-0.56924269340332;-1.03943899624252
"Paty do Alferes (RJ)";0.330020960737761;-0.5886670487446;0.508519599804085;-0.951875954851147;-1.26144002296449;0.884616062467943;-0.907267796795035;-0.541187191620334;-0.427050245422162;-0.997343156130718;-0.422022492024018;-1.03114367314321;-0.394257467302158;-1.02676651401216;-1.47821218148845;-0.829794179470334;-0.412972994490362;1.49021063755233
"Petrópolis (RJ)";-0.597035017565786;0.817147645100337;-0.658867355548852;0.354890638776316;1.11603502714612;1.25381868778999;0.703332419716686;1.16993221461173;0.500240268095211;0.610223499624295;-0.625085750487109;0.981478496225757;-0.016644684032784;1.17743747536137;1.39703483765664;0.902930829140983;1.25535790000937;-1.50294034616308
"Pinheiral (RJ)";-0.355521106331581;-0.678547260256767;0.835332115083121;-0.15826298454635;0.735639019128424;-0.721242416444999;0.361207561662438;0.189091831878624;-0.641357818874933;-0.460109057925348;0.995665782585133;0.165550589724825;-0.428346837593551;0.856809389533296;0.21601045277563;0.137256790139487;-0.307836907683888;0.216286191761854
"Piraí (RJ)";-0.194296625454406;2.08795101112949;-2.13420794800251;-0.629677586418422;0.165045007101879;-0.236460208693682;-0.33811290682877;0.174362145969924;0.31125711932148;-0.429142148701913;0.57115599779073;-0.0248325884587257;0.377964361481423;0.403163370150159;0.324968805998284;-0.0364719030843905;-0.383044457613334;-0.56581416985291
"Porciúncula (RJ)";0.307186099015993;-0.608452425483043;0.537086266285737;-1.24868919930313;-1.07124201895564;-1.2445090510074;-0.401932374022911;-0.284263861663916;1.16051008037704;-0.0352040757264992;0.920295533831464;-0.324006154175734;-0.387334309429045;-0.533536832161181;-0.394774857924343;0.0863238614323241;-0.602248063367574;0.895676805614132
"Porto Real (RJ)";-0.62871943371129;2.22267983136548;-2.12909186014296;-0.68248525261771;0.450342013115154;1.39729740477138;0.990156846278313;-0.324817507548718;0.0913422838644369;-0.188160198992303;1.152661365745;0.111155395958096;7.57584184111349;2.50723059447708;-0.0306575775338486;-0.185493640572911;-0.231181255386611;-0.234128814783856
"Quatis (RJ)";-0.192042434396523;0.54652375679601;-0.510831280327437;-0.571219626375529;0.32354334377592;-0.126871308084082;0.635904512056291;-0.494365594285022;-0.836692559991723;4.7509304622305;0.604325136067669;-0.514389332359285;-0.277898554918247;1.20714230045501;-0.30189344033407;-0.743830883524207;-0.576005656494712;-0.94564083900333
